review,sentiment
"A widely unknown strange little western with mindblowing colours (probably the same material as it was used in ""Johnny Guitar"", I guess ""Trucolor"" or something, which makes blood drips look like shining rubies), nearly surrealistic scenes with twisted action and characters. Something different, far from being a masterpiece, but there should be paid more attention to this little gem in western encyclopedias.",positive
"I first saw Love in Limbo playing late on free to air TV about five years ago, and since then it's a movie I'll always remember warmly as one of those films you see and are forever influenced by.<br /><br />For the uninitiated, Australian film has a long history of making off-beat comedies about lovable losers, and Love in Limbo is a sterling example of this. Whilst Russel Crowe is the only name actor in it (although these days he's all a movie needs), the rest of the Aussie cast is good- he still steals the show as a nervous, nerdy, virgin loser though.<br /><br />The general premise is a lot like American Pie. A group of friends wanting to get laid and become men. As you'd expect, the entire movie focusses on this (with a sub-plot about the lead's mother and various other incidents), and is full of humorous situations that push it towards the inevitably sweet ending.<br /><br />If you enjoyed American Pie, don't expect this to be the same- but expect the same conventions to make appearances. Love in Limbo isn't a gross out romantic comedy- but it definitely has its share of laughs, fist pumping moments when the good guy wins, and the situations every guy, Australian or otherwise, can relate to.<br /><br />See it if you liked: American Pie, Almost Famous. Strengths: Good Aussie cast, easy to relate to, good perve value. Weaknesses: Predictable at points. My Rating: 8 out of 10",positive
"I've gotta say, I usually like horror movies that i've never seen... however, this one was just to pathetic for my gory taste. I'm used to the gory, gut wrenching types... but this particular movie was lame. The acting was horrible (yet the corny (no pun intended) one-liners were cute). And the sequel to it, Scarecrow Slayer was even worse! Yes, probably, when it first came out, there was a huge rave about it and people liked it. But when movies like The Ring and The Exorcist of Emily Rose come out, movies like these make movies like Scarecrow seem childish. If you want a movie to just pass the time, pick this one! The special effects are cheesy as heck. But seeing that it was a low budget movie, I can kind of see where that would come in. This will kind of remind you of the movie ""Children Of The Corn."" Independent movies rock.... most of the time. So if you want to see a scarecrow killing people with corncobs, or in the sequel, 2 scarecrows going at it, then these movies would be for you.",negative
"Well, I was hoping I'd heard wrong about this film as I'm a big fan of Ruggero Deodato and really didn't want to see him slip up; but unfortunately, this Giallo-styled supernatural load of nonsense is just as bad as I'd been lead to believe it would be - and that's pretty terrible! The plot doesn't work at all, as the film attempts to blend murders and a supernatural theme through a telephone and it all feels very forced and silly. Furthermore, the plot doesn't make much sense at all, and you have to ask yourself ""what's the point"" numerous times throughout the movie. The plot focuses on a young woman living in an apartment block and being terrorised by a telephone. The best thing about the movie is undoubtedly the presence of the beautiful English actress Charlotte Lewis, and unfortunately the good points pretty much stop there. There are a handful of deaths scenes, some of which are gory; but all of which are incredibly stupid, the one that sees someone get killed by coins sticks out especially in that respect. Overall, I really can't recommend this to anyone; non-Deodato fans are unlikely to impressed, and Deodato fans are likely to find the film depressing. Avoid!",negative
"The only redeeming feature of this movie is Steve Carell. Like John Wayne, I've never seen Steve Carell stretch too far as an actor, but it doesn't matter. He always plays his one role perfectly.<br /><br />As Marty Feldman once said, comedy must have internal consistency. You can have 4 men on stage sitting in garbage cans, and that's fine, but if you bring a fifth man on stage who isn't in a garbage can, you must then explain to the audience why he is not also in a garbage can.<br /><br />Why doesn't Evan accept his role as a messenger of God? Why, when he does accept it, is he so profoundly embarrassed by it? Why isn't anyone more impressed with the way that animals follow Evan around (they are explained away by the unthinking doubters as ""trained animals"" possibly from a circus). There's a terrible flood at the end, and most everyone we see hops on the ark and is saved, but surely thousands of people would have been killed by the flood; there is no post-disaster emotional atmosphere at the end. Instead, most of congress has finally seen the light and is about to prosecute the lone incorrigibly bad congressman for ""profiteering"".<br /><br />I gotta admit: I also liked the fish in the aquarium reacting to the presence of Evan.",negative
"Perhaps once in a generation a film comes along that is perfection. For me, ""The Railway Children"" is that film - a timeless classic that was directed and performed most beautifully. It depicts all that is worthwhile in humanity and climaxes in the conquest of love and faith over cruel injustice. Every performance is a gem, though Bobbie stands out and, like Judy Garland as Dorothy before her, Jenny Agutter makes it impossible for us to imagine anyone else in the role.<br /><br />The world is all the better for this film and the children of today would be much the better for watching it.<br /><br />Of course, like so many young men of my generation, I fell hopelessly in love with Jenny Agutter and her hold was as strong when I had the great good fortune to meet her a few days ago - the bewitching smile and voice like dripping honey were still there to send me weak at the knees as they first did all those years ago!",positive
"This is the last time I rent a video without checking in at the IMDB reviews. The Limey is directed by Steven Soderbergh who also wrote wrote the truly awful Nightwatch with Ewan Macgregor and directed such trash as Out of Sight with the anti-talented Jennifer Lopez. Terence Stamp is a fine actor and it is a shame he involved himself in such a bad film. There is frequent confusing editing that seems like it was a last minute decision in order to make up for the lack or story, filming and just plain common sense. This film does everything wrong. What were they thinking?",negative
"How can anyone argue the fact that Urban Cowboy was, and still is, the best document of Texas life for the time period. Consider the following: men beat their wives, get drunk at bars nightly, get married to settle a fight, commit adultery, and compete on mechanical bulls. Try and name a movie that depicts real life so vividly. They dont make them anymore. It seems current films are always about people with lots of money, they live in huge homes, drive expensive cars and don't work. This movie has a celebration scene about getting a trailer for pete's sake !<br /><br />Anyway, I watch it at least once a week. No kidding. I have dissected this movie from end to end. feel free to email me to learn more about my reason for calling it a documentary. Consider the following scenes: Bud sees Sissy - they are split up - he amicably honks and waves, she flips him the bird - he returns half the peace sign honking his horn to add impact then tears off.<br /><br />Buds mom calls him approx. 18 hours after he gets into town, on a Sunday, to see if he has a job yet - all he has accomplished is getting drunk and laid(x2), with help from his uncle and aunt who cover for him.<br /><br />""You all live like pigs"" Think about why this scene is needed. Think about it. Was it necessary ? Could we not figure it out without showing the filthy sink ? God I love that !<br /><br />Sissy allows Wes to help her ride the bull. Only a few days (or possibly the next day) after Wes just kicked the crap out of her husband. Steve asks - Hey Sissy, remember Wes ? Oh yeah, didnt you beat my husband up the other night, so let's get this lesson goin', to make no mention of the fact that she seeks solace in him later during one Bud and Sissy's many fights, which by the way all take place in public - in Gilley's !<br /><br />The Wedding reception picture taking session (oh the humanity !) could they at least arrange or move the chairs out of the way. ""My legs are sweatin' momma""<br /><br />In conclusion, you don't put scenes like this in a movie to try and show insight into human psychology. It is a documentary of real life.<br /><br />I only wish there was a director's cut....",positive
"This reminds me of when I was a born-again believer who was going to be a minister. I never actually thought I would be a minister or even graduate from high school because I was almost positive I would be raptured to Heaven before that would ever happen. That was before I discovered that Christianity was a bunch rubbish. I am now an atheist, and that just proves that the ""once saved always saved"" doctorine that Christians tell us is no more real than elves. If it were true then why did I leave after many years of being a devout born again believer? Yes, I really was saved. I prayed that silly sinners prayer with all my heart.<br /><br />If Christians were to read their Bible they would discover that their god thinks like rape, genocide, abortion, and many other atrocities are alright according to him. They might be surprised to learn that no where is the word ""rapture"" mentioned.",negative
"Of course, how could he. He obviously co-opted several aspects from that excellent movie, which was also based on the sensational French case of the self-described ""doctor in the World Health Organization"" who murdered his family and himself when finally unmasked as a fraud. Emilio refers to his son as ""monster,"" he sings to the radio in his car, he hangs out on park benches, and he specializes in investment schemes to defraud his family and friends -- all of this and more directly lifted from ""Time Out,"" which came out the year before ""Nobody's Life."" It's too bad because this movie is pretty good on its own, with good acting and writing. Whereas Vincent from ""Time Out"" is a much more subtle character who seems to have a sense of ethics even though at times it gets twisted into knots, the protagonist here seems devoid of any character at all save for his winning looks and charm. Seriously, the part where he used X-rays that show his mother-in-law's cancer to bilk more money from his father, then utilizes a subtle twist on the same scam to avoid eviction from his fancy home for failing to pay the lease on time -- it's almost too much. The guy has no shame whatsoever, In fact, he's more like the lead in ""Stepfather"" than some poor schmuck who gets fired and is so humiliated that he can't face the disappointment of his family and friends and feels forced to invent a shiny new life for himself, as Vincent did in ""Time Out."" Thus, one could feel the tension mounting in ""Nobody's Life"" and the violent conclusion coming. One thing ""Nobody's Life"" has that ""Time Out"" definitely lacked was a love interest apart from the protagonist's trusting wife. It's not hard to understand how the sexy babysitter was able to fascinate and ensnare Emile to the degree that he ignored the danger of her natural curiosity and allowed it to lay bare his less than carefully constructed con. Given the reservations mentioned, this is a pretty good movie that we found entertaining. If you long for something touching on similar elements that goes a might deeper and is more intellectually and spiritually satisfying, I strongly suggest ""Time Out.""",positive
